Swapping columns 5, 6: Best Score: -1418.850738, Score: -1443.527234, Score: -1443.516052 Undoing swap!
Swapping columns 6, 7: Best Score: -1418.850738, Score: -1432.545836, Score: -1433.222464 Undoing swap!
Swapping columns 7, 8: Best Score: -1418.850738, Score: -1434.242970, Score: -1428.369101 Undoing swap!
Swapping columns 8, 9: Best Score: -1418.850738, Score: -1429.954497, Score: -1439.270275 Undoing swap!
Swapping columns 9, 10: Best Score: -1418.850738, Score: -1437.583334, Score: -1429.898242 Undoing swap!
Swapping columns 10, 11: Best Score: -1418.850738, Score: -1435.585569, Score: -1428.957823 Undoing swap!
Swapping columns 11, 12: Best Score: -1418.850738, Score: -1425.870748, Score: -1432.182648 Undoing swap!
Swapping columns 12, 13: Best Score: -1418.850738, Score: -1427.186591, Score: -1431.616228 Undoing swap!
Swapping columns 13, 14: Best Score: -1418.850738, Score: -1436.382003, Score: -1429.053369 Undoing swap!
Swapping columns 14, 15: Best Score: -1418.850738, Score: -1433.677070, Score: -1429.605401 Undoing swap!
Swapping columns 15, 16: Best Score: -1418.850738, Score: -1440.765714, Score: -1436.952268 Undoing swap!
Swapping columns 0, 2: Best Score: -1418.850738, Score: -1425.240498, Score: -1433.206270 Undoing swap!
Swapping columns 1, 3: Best Score: -1418.850738, Score: -1427.472088, Score: -1425.612699 Undoing swap!
Swapping columns 2, 4: Best Score: -1418.850738, Score: -1433.440206, Score: -1436.718938 Undoing swap!
Swapping columns 3, 5: Best Score: -1418.850738, Score: -1436.105235, Score: -1439.166526 Undoing swap!
Swapping columns 4, 6: Best Score: -1418.850738, Score: -1442.442039, Score: -1440.787032 Undoing swap!
Swapping columns 5, 7: Best Score: -1418.850738, Score: -1430.609179, Score: -1431.203909 Undoing swap!
Swapping columns 6, 8: Best Score: -1418.850738, Score: -1426.099187, Score: -1428.280578 Undoing swap!
Swapping columns 7, 9: Best Score: -1418.850738, Score: -1433.306846, Score: -1429.485078 Undoing swap!
Swapping columns 8, 10: Best Score: -1418.850738, Score: -1425.569294, Score: -1430.249040 Undoing swap!
Swapping columns 9, 11: Best Score: -1418.850738, Score: -1432.109258, Score: -1442.115850 Undoing swap!
Swapping columns 10, 12: Best Score: -1418.850738, Score: -1428.455371, Score: -1436.316506 Undoing swap!
Swapping columns 11, 13: Best Score: -1418.850738, Score: -1435.857457, Score: -1436.342970 Undoing swap!
Swapping columns 12, 14: Best Score: -1418.850738, Score: -1434.215337, Score: -1439.833677 Undoing swap!
Swapping columns 13, 15: Best Score: -1418.850738, Score: -1438.018828, Score: -1425.768844 Undoing swap!
Swapping columns 14, 16: Best Score: -1418.850738, Score: -1438.914049, Score: -1436.241985 Undoing swap!
Swapping columns 0, 3: Best Score: -1418.850738, Score: -1431.640896, Score: -1434.238302 Undoing swap!
Swapping columns 1, 4: Best Score: -1418.850738, Score: -1436.394349, Score: -1437.922745 Undoing swap!
Swapping columns 2, 5: Best Score: -1418.850738, Score: -1439.082488, Score: -1442.995584 Undoing swap!
Swapping columns 3, 6: Best Score: -1418.850738, Score: -1432.930859, Score: -1430.470916 Undoing swap!
