Swapping columns 6, 12: Best Score: -1423.144318, Score: -1429.871409, Score: -1431.826457 Undoing swap!
Swapping columns 7, 13: Best Score: -1423.144318, Score: -1430.492530, Score: -1431.851222 Undoing swap!
Swapping columns 8, 14: Best Score: -1423.144318, Score: -1422.997336
Swapping columns 0, 1: Best Score: -1422.997336, Score: -1438.080555, Score: -1439.772662 Undoing swap!
Swapping columns 1, 2: Best Score: -1422.997336, Score: -1429.621045, Score: -1439.662769 Undoing swap!
Swapping columns 2, 3: Best Score: -1422.997336, Score: -1429.375071, Score: -1443.647872 Undoing swap!
Swapping columns 3, 4: Best Score: -1422.997336, Score: -1424.659059, Score: -1427.265362 Undoing swap!
Swapping columns 4, 5: Best Score: -1422.997336, Score: -1425.467201, Score: -1432.096867 Undoing swap!
Swapping columns 5, 6: Best Score: -1422.997336, Score: -1428.749232, Score: -1429.222633 Undoing swap!
Swapping columns 6, 7: Best Score: -1422.997336, Score: -1424.219403, Score: -1427.777788 Undoing swap!
Swapping columns 7, 8: Best Score: -1422.997336, Score: -1426.738483, Score: -1429.305498 Undoing swap!
Swapping columns 8, 9: Best Score: -1422.997336, Score: -1428.647717, Score: -1442.654452 Undoing swap!
Swapping columns 9, 10: Best Score: -1422.997336, Score: -1436.458870, Score: -1437.166695 Undoing swap!
Swapping columns 10, 11: Best Score: -1422.997336, Score: -1421.728748
Swapping columns 0, 1: Best Score: -1421.728748, Score: -1440.694312, Score: -1440.695406 Undoing swap!
Swapping columns 1, 2: Best Score: -1421.728748, Score: -1436.604986, Score: -1434.028437 Undoing swap!
Swapping columns 2, 3: Best Score: -1421.728748, Score: -1437.777751, Score: -1428.233696 Undoing swap!
Swapping columns 3, 4: Best Score: -1421.728748, Score: -1437.009621, Score: -1425.565553 Undoing swap!
Swapping columns 4, 5: Best Score: -1421.728748, Score: -1436.401911, Score: -1430.689478 Undoing swap!
Swapping columns 5, 6: Best Score: -1421.728748, Score: -1429.216947, Score: -1427.608497 Undoing swap!
Swapping columns 6, 7: Best Score: -1421.728748, Score: -1424.855015, Score: -1435.372536 Undoing swap!
Swapping columns 7, 8: Best Score: -1421.728748, Score: -1431.631021, Score: -1427.577229 Undoing swap!
Swapping columns 8, 9: Best Score: -1421.728748, Score: -1437.601284, Score: -1431.306002 Undoing swap!
Swapping columns 9, 10: Best Score: -1421.728748, Score: -1432.374386, Score: -1432.250387 Undoing swap!
Swapping columns 10, 11: Best Score: -1421.728748, Score: -1423.484939, Score: -1428.135528 Undoing swap!
Swapping columns 11, 12: Best Score: -1421.728748, Score: -1446.925440, Score: -1435.323958 Undoing swap!
Swapping columns 12, 13: Best Score: -1421.728748, Score: -1444.607683, Score: -1435.840767 Undoing swap!
Swapping columns 13, 14: Best Score: -1421.728748, Score: -1431.588130, Score: -1434.244291 Undoing swap!
Swapping columns 14, 15: Best Score: -1421.728748, Score: -1424.133706, Score: -1421.587074
Swapping columns 0, 1: Best Score: -1421.587074, Score: -1434.742873, Score: -1435.024115 Undoing swap!
Swapping columns 1, 2: Best Score: -1421.587074, Score: -1433.282877, Score: -1435.896873 Undoing swap!
Swapping columns 2, 3: Best Score: -1421.587074, Score: -1426.584289, Score: -1437.566419 Undoing swap!
Swapping columns 3, 4: Best Score: -1421.587074, Score: -1425.199264, Score: -1429.483781 Undoing swap!
Swapping columns 4, 5: Best Score: -1421.587074, Score: -1436.781512, Score: -1440.073796 Undoing swap!
Swapping columns 5, 6: Best Score: -1421.587074, Score: -1440.106216, Score: -1440.466364 Undoing swap!
Swapping columns 6, 7: Best Score: -1421.587074, Score: -1432.370914, Score: -1434.548768 Undoing swap!
Swapping columns 7, 8: Best Score: -1421.587074, Score: -1435.898311, Score: -1433.746473 Undoing swap!
Swapping columns 8, 9: Best Score: -1421.587074, Score: -1431.607291, Score: -1427.144845 Undoing swap!
Swapping columns 9, 10: Best Score: -1421.587074, Score: -1426.986066, Score: -1429.642881 Undoing swap!
Swapping columns 10, 11: Best Score: -1421.587074, Score: -1434.153750, Score: -1431.254063 Undoing swap!
Swapping columns 11, 12: Best Score: -1421.587074, Score: -1425.385921, Score: -1441.664391 Undoing swap!
Swapping columns 12, 13: Best Score: -1421.587074, Score: -1442.653783, Score: -1441.758657 Undoing swap!
Swapping columns 13, 14: Best Score: -1421.587074, Score: -1431.386726, Score: -1432.070594 Undoing swap!
Swapping columns 14, 15: Best Score: -1421.587074, Score: -1435.481034, Score: -1427.860682 Undoing swap!
Swapping columns 15, 16: Best Score: -1421.587074, Score: -1433.116405, Score: -1436.172403 Undoing swap!
Swapping columns 0, 2: Best Score: -1421.587074, Score: -1436.543870, Score: -1429.996909 Undoing swap!
Swapping columns 1, 3: Best Score: -1421.587074, Score: -1431.092737, Score: -1419.261310
Swapping columns 0, 1: Best Score: -1419.261310, Score: -1425.629157, Score: -1419.242384
Swapping columns 0, 1: Best Score: -1419.242384, Score: -1432.699208, Score: -1427.106813 Undoing swap!
Swapping columns 1, 2: Best Score: -1419.242384, Score: -1427.381233, Score: -1436.733283 Undoing swap!
Swapping columns 2, 3: Best Score: -1419.242384, Score: -1432.140391, Score: -1435.743955 Undoing swap!
Swapping columns 3, 4: Best Score: -1419.242384, Score: -1434.660610, Score: -1439.990120 Undoing swap!
Swapping columns 4, 5: Best Score: -1419.242384, Score: -1431.613530, Score: -1429.846067 Undoing swap!
Swapping columns 5, 6: Best Score: -1419.242384, Score: -1434.723203, Score: -1435.912416 Undoing swap!
Swapping columns 6, 7: Best Score: -1419.242384, Score: -1427.214102, Score: -1430.695398 Undoing swap!
