Swapping columns 0, 1: Best Score: -1075.348717, Score: -1090.368602, Score: -1093.607750 Undoing swap!
Swapping columns 1, 2: Best Score: -1075.348717, Score: -1092.474572, Score: -1091.690094 Undoing swap!
Swapping columns 2, 3: Best Score: -1075.348717, Score: -1092.033821, Score: -1088.018420 Undoing swap!
Swapping columns 3, 4: Best Score: -1075.348717, Score: -1087.177466, Score: -1090.020699 Undoing swap!
Swapping columns 4, 5: Best Score: -1075.348717, Score: -1080.382388, Score: -1094.775725 Undoing swap!
Swapping columns 5, 6: Best Score: -1075.348717, Score: -1102.966605, Score: -1097.604957 Undoing swap!
Swapping columns 6, 7: Best Score: -1075.348717, Score: -1085.664666, Score: -1095.327493 Undoing swap!
Swapping columns 7, 8: Best Score: -1075.348717, Score: -1088.913780, Score: -1091.720174 Undoing swap!
Swapping columns 8, 9: Best Score: -1075.348717, Score: -1085.212174, Score: -1089.376698 Undoing swap!
Swapping columns 9, 10: Best Score: -1075.348717, Score: -1095.204069, Score: -1095.160652 Undoing swap!
Swapping columns 10, 11: Best Score: -1075.348717, Score: -1093.316264, Score: -1092.789022 Undoing swap!
Swapping columns 11, 12: Best Score: -1075.348717, Score: -1088.564536, Score: -1091.878072 Undoing swap!
Swapping columns 12, 13: Best Score: -1075.348717, Score: -1090.459626, Score: -1087.433435 Undoing swap!
Swapping columns 13, 14: Best Score: -1075.348717, Score: -1080.345065, Score: -1088.672916 Undoing swap!
Swapping columns 14, 15: Best Score: -1075.348717, Score: -1085.432698, Score: -1093.023760 Undoing swap!
Swapping columns 15, 16: Best Score: -1075.348717, Score: -1082.354587, Score: -1083.588676 Undoing swap!
Swapping columns 0, 2: Best Score: -1075.348717, Score: -1086.926907, Score: -1093.207357 Undoing swap!
Swapping columns 1, 3: Best Score: -1075.348717, Score: -1078.826595, Score: -1086.663050 Undoing swap!
Swapping columns 2, 4: Best Score: -1075.348717, Score: -1085.381406, Score: -1089.855438 Undoing swap!
Swapping columns 3, 5: Best Score: -1075.348717, Score: -1087.769434, Score: -1085.130662 Undoing swap!
Swapping columns 4, 6: Best Score: -1075.348717, Score: -1086.919144, Score: -1086.078902 Undoing swap!
Swapping columns 5, 7: Best Score: -1075.348717, Score: -1093.572543, Score: -1095.777344 Undoing swap!
Swapping columns 6, 8: Best Score: -1075.348717, Score: -1092.319212, Score: -1093.639906 Undoing swap!
Swapping columns 7, 9: Best Score: -1075.348717, Score: -1087.487075, Score: -1088.053545 Undoing swap!
Swapping columns 8, 10: Best Score: -1075.348717, Score: -1084.109047, Score: -1093.367443 Undoing swap!
Swapping columns 9, 11: Best Score: -1075.348717, Score: -1097.826048, Score: -1085.476962 Undoing swap!
Swapping columns 10, 12: Best Score: -1075.348717, Score: -1082.522693, Score: -1081.762816 Undoing swap!
Swapping columns 11, 13: Best Score: -1075.348717, Score: -1089.716439, Score: -1093.098653 Undoing swap!
Swapping columns 12, 14: Best Score: -1075.348717, Score: -1102.088813, Score: -1093.604074 Undoing swap!
Swapping columns 13, 15: Best Score: -1075.348717, Score: -1093.583103, Score: -1094.289579 Undoing swap!
Swapping columns 14, 16: Best Score: -1075.348717, Score: -1090.435338, Score: -1095.322763 Undoing swap!
Swapping columns 0, 3: Best Score: -1075.348717, Score: -1093.031601, Score: -1088.711948 Undoing swap!
Swapping columns 1, 4: Best Score: -1075.348717, Score: -1091.570741, Score: -1095.370416 Undoing swap!
Swapping columns 2, 5: Best Score: -1075.348717, Score: -1093.669837, Score: -1092.735629 Undoing swap!
Swapping columns 3, 6: Best Score: -1075.348717, Score: -1088.116293, Score: -1083.144778 Undoing swap!
Swapping columns 4, 7: Best Score: -1075.348717, Score: -1089.086700, Score: -1089.689181 Undoing swap!
Swapping columns 5, 8: Best Score: -1075.348717, Score: -1096.112038, Score: -1092.520424 Undoing swap!
Swapping columns 6, 9: Best Score: -1075.348717, Score: -1096.722534, Score: -1094.090373 Undoing swap!
Swapping columns 7, 10: Best Score: -1075.348717, Score: -1088.766616, Score: -1091.885837 Undoing swap!
Swapping columns 8, 11: Best Score: -1075.348717, Score: -1093.940114, Score: -1093.080417 Undoing swap!
Swapping columns 9, 12: Best Score: -1075.348717, Score: -1095.578278, Score: -1093.948471 Undoing swap!
Swapping columns 10, 13: Best Score: -1075.348717, Score: -1080.279846, Score: -1094.660716 Undoing swap!
Swapping columns 11, 14: Best Score: -1075.348717, Score: -1087.928032, Score: -1088.592263 Undoing swap!
Swapping columns 12, 15: Best Score: -1075.348717, Score: -1089.164538, Score: -1085.305320 Undoing swap!
Swapping columns 13, 16: Best Score: -1075.348717, Score: -1095.908145, Score: -1087.968836 Undoing swap!
Swapping columns 0, 4: Best Score: -1075.348717, Score: -1091.151244, Score: -1092.376338 Undoing swap!
Swapping columns 1, 5: Best Score: -1075.348717, Score: -1080.093320, Score: -1081.014688 Undoing swap!
Swapping columns 2, 6: Best Score: -1075.348717, Score: -1089.170505, Score: -1090.310531 Undoing swap!
Swapping columns 3, 7: Best Score: -1075.348717, Score: -1090.779831, Score: -1092.020328 Undoing swap!
Swapping columns 4, 8: Best Score: -1075.348717, Score: -1092.159372, Score: -1098.825513 Undoing swap!
Swapping columns 5, 9: Best Score: -1075.348717, Score: -1095.175962, Score: -1094.392814 Undoing swap!
Swapping columns 6, 10: Best Score: -1075.348717, Score: -1093.740864, Score: -1093.201707 Undoing swap!
